title,speaker,month,year,session,url,tags,excerpt
Simply BeautifulBeautifully Simple,Gary E. Stevenson,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/29stevenson?lang=eng,,
Lovest Thou Me More Than These?,M. Russell Ballard Acting,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/31ballard?lang=eng,,
I Pray Hell Use Us,Sharon Eubank,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/32eubank?lang=eng,,
Is There No Balm in Gilead?,Brent H. Nielson,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/33nielson?lang=eng,,
Deepening Our Conversion to Jesus Christ,Arnulfo Valenzuela,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/34valenzuela?lang=eng,,
Worthiness Is Not Flawlessness,Bradley R. Wilcox,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/35wilcox?lang=eng,,
To Be a Follower of Christ,Alfred Kyungu,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/36kyungu?lang=eng,,
Hold Up Your Light,Marcus B. Nash,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/37nash?lang=eng,,
The Faith to Ask and Then to Act,Henry B. Eyring,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/38eyring?lang=eng,,
Daily Restoration,Dieter F. Uchtdorf,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/41uchtdorf?lang=eng,,
Invite Christ to Author Your Story,Camille N. Johnson,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/42johnson?lang=eng,,
The Peace of Christ Abolishes Enmity,Dale G. Renlund,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/43renlund?lang=eng,,
A House of Sequential Order,Vaiangina Sikahema,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/44sikahema?lang=eng,,
Personal Peace in Challenging Times,Quentin L. Cook,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/46cook?lang=eng,,
The Temple and Your Spiritual Foundation,Russell M. Nelson President,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/47nelson?lang=eng,,
Trust Again,Gerrit W. Gong,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/51gong?lang=eng,,
